DATETIME, L_T1, L_T2, L_T3, L_T4, L_T5, L_T6, L_T7, F_PU1, S_PU1, F_PU2, S_PU2, F_PU3, S_PU3, F_PU4, S_PU4, F_PU5, S_PU5, F_PU6, S_PU6, F_PU7, S_PU7, F_PU8, S_PU8, F_PU9, S_PU9, F_PU10, S_PU10, F_PU11, S_PU11, F_V2, S_V2, P_J280, P_J269, P_J300, P_J256, P_J289, P_J415, P_J302, P_J306, P_J307, P_J317, P_J14, P_J422, ATT_FLAG
04/07/16 10, 4.73, 0.62, 3.59, 2.66, 2.13, 5.43, 2.63, 117.50, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.13, 1.00, 35.33, 1.00, 0.00, 0.00, 30.91, 1.00, 0.00, 0.00, 88.73, 1.00, 2.99, 23.19, 26.55, 71.49, 26.51, 83.59, 19.96, 81.37, 19.85, 66.85, 29.13, 28.23, -999
04/07/16 11, 4.24, 1.01, 3.22, 2.52, 2.50, 5.50, 2.53, 118.65, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.76, 1.00, 34.44, 1.00, 0.00, 0.00, 30.27, 1.00, 0.00, 0.00, 82.43, 1.00, 2.99, 22.53, 26.65, 71.99, 26.61, 84.42, 19.57, 82.51, 19.47, 68.58, 29.19, 28.29, -999
04/07/16 12, 3.74, 1.23, 3.17, 2.67, 3.03, 5.50, 2.70, 118.91, 1.00, 0.00, 0.00, 0.00, 0.00, 34.87, 1.00, 0.00, 0.00, 0.00, 0.00, 48.57, 1.00, 34.77, 1.00, 0.00, 0.00, 30.14, 1.00, 0.00, 0.00, 85.34, 1.00, 2.99, 22.38, 25.65, 87.98, 25.72, 85.79, 19.32, 81.68, 19.21, 68.76, 28.61, 27.71, -999
04/07/16 13, 3.25, 1.25, 3.64, 3.13, 3.38, 5.50, 2.89, 121.45, 1.00, 0.00, 0.00, 0.00, 0.00, 35.25, 1.00, 0.00, 0.00, 0.00, 0.00, 48.61, 1.00, 33.86, 1.00, 0.00, 0.00, 29.95, 1.00, 0.00, 0.00, 73.53, 1.00, 2.99, 20.90, 25.56, 87.23, 25.63, 85.62, 17.95, 81.85, 17.84, 68.01, 28.46, 27.56, -999
04/07/16 14, 2.70, 1.13, 4.07, 3.49, 3.80, 5.50, 2.90, 119.84, 1.00, 0.00, 0.00, 0.00, 0.00, 34.71, 1.00, 0.00, 0.00, 0.00, 0.00, 48.82, 1.00, 34.47, 1.00, 0.00, 0.00, 30.10, 1.00, 0.00, 0.00, 80.99, 1.00, 2.99, 21.84, 25.54, 88.13, 25.60, 85.21, 18.72, 81.59, 18.61, 68.29, 28.47, 27.57, -999
04/07/16 15, 2.25, 1.09, 4.51, 3.69, 4.07, 5.50, 2.95, 118.63, 1.00, 0.00, 0.00, 0.00, 0.00, 33.58, 1.00, 0.00, 0.00, 0.00, 0.00, 49.16, 1.00, 0.00, 0.00, 0.00, 0.00, 30.88, 1.00, 0.00, 0.00, 87.53, 1.00, 2.99, 22.54, 25.55, 90.03, 25.61, 84.57, 25.87, 63.44, 25.76, 72.86, 28.51, 27.61, -999
04/07/16 16, 1.93, 1.14, 5.01, 3.67, 3.37, 5.50, 3.70, 118.64, 1.00, 0.00, 0.00, 0.00, 0.00, 34.31, 1.00, 0.00, 0.00, 0.00, 0.00, 48.76, 1.00, 0.00, 0.00, 0.00, 0.00, 31.36, 1.00, 0.00, 0.00, 86.82, 1.00, 2.99, 22.53, 25.58, 88.84, 25.64, 85.35, 25.73, 62.83, 25.61, 71.10, 28.54, 27.64, -999
04/07/16 17, 1.65, 1.27, 5.17, 3.88, 2.70, 5.50, 4.02, 118.09, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.08, 1.00, 0.00, 0.00, 0.00, 0.00, 31.29, 1.00, 0.00, 0.00, 81.56, 1.00, 2.99, 22.85, 26.90, 73.53, 26.87, 85.98, 25.99, 62.44, 25.87, 71.60, 29.44, 28.54, -999
04/07/16 18, 1.43, 1.61, 4.82, 4.13, 2.06, 5.50, 4.38, 119.24, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.42, 1.00, 0.00, 0.00, 0.00, 0.00, 30.78, 1.00, 0.00, 0.00, 75.59, 1.00, 2.99, 22.19, 26.97, 72.12, 26.93, 85.40, 25.42, 61.04, 25.31, 72.77, 29.47, 28.57, -999
04/07/16 19, 1.15, 1.87, 4.43, 4.18, 1.61, 5.43, 4.46, 120.18, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.26, 1.00, 36.72, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 69.84, 1.00, 2.99, 21.64, 27.03, 71.12, 26.99, 85.76, 24.04, 82.90, 24.04, 57.40, 29.50, 28.60, -999
04/07/16 20, 0.93, 2.11, 4.01, 4.32, 2.07, 5.03, 2.64, 98.54, 1.00, 98.56, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.49, 1.00, 36.94, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 79.51, 1.00, 2.97, 33.76, 27.62, 70.04, 27.58, 85.90, 25.04, 83.50, 25.04, 52.06, 30.15, 29.25, -999
04/07/16 21, 0.84, 2.40, 3.57, 4.43, 2.48, 4.90, 1.72, 99.33, 1.00, 99.35, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.03, 1.00, 34.96, 1.00, 0.00, 0.00, 30.85, 1.00, 0.00, 0.00, 74.46, 1.00, 2.97, 33.32, 27.70, 69.82, 27.66, 84.94, 18.62, 80.66, 18.51, 65.72, 30.20, 29.30, -999
04/07/16 22, 0.70, 2.66, 3.14, 4.16, 2.75, 4.93, 1.44, 98.88, 1.00, 98.90, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.11, 1.00, 35.30, 1.00, 0.00, 0.00, 30.88, 1.00, 0.00, 0.00, 74.10, 1.00, 2.97, 33.57, 27.93, 69.61, 27.89, 85.02, 18.69, 80.15, 18.58, 65.69, 30.43, 29.53, -999
04/07/16 23, 0.59, 2.67, 3.30, 3.99, 2.87, 4.97, 1.23, 99.04, 1.00, 99.06, 1.00, 0.00, 0.00, 36.11, 1.00, 0.00, 0.00, 0.00, 0.00, 49.59, 1.00, 34.87, 1.00, 0.00, 0.00, 30.80, 1.00, 0.00, 0.00, 77.23, 1.00, 2.97, 33.49, 26.99, 87.16, 27.07, 85.20, 18.71, 80.91, 18.59, 65.96, 29.93, 29.03, -999
05/07/16 00, 0.49, 2.59, 3.73, 4.00, 3.13, 5.06, 1.20, 99.60, 1.00, 99.62, 1.00, 0.00, 0.00, 34.66, 1.00, 0.00, 0.00, 0.00, 0.00, 49.38, 1.00, 34.44, 1.00, 0.00, 0.00, 30.76, 1.00, 0.00, 0.00, 75.28, 1.00, 2.97, 33.18, 26.93, 89.61, 26.99, 85.53, 18.49, 81.41, 18.38, 65.89, 29.83, 28.93, -999
05/07/16 01, 0.35, 2.49, 4.23, 4.11, 3.47, 5.13, 1.14, 98.71, 1.00, 98.73, 1.00, 0.00, 0.00, 33.92, 1.00, 0.00, 0.00, 0.00, 0.00, 49.07, 1.00, 33.68, 1.00, 0.00, 0.00, 30.21, 1.00, 0.00, 0.00, 78.91, 1.00, 2.97, 33.66, 26.90, 90.81, 26.96, 86.09, 19.18, 83.39, 19.07, 68.40, 29.81, 28.91, -999
05/07/16 02, 0.32, 2.45, 4.75, 4.34, 3.95, 5.41, 1.87, 98.25, 1.00, 98.27, 1.00, 0.00, 0.00, 33.13, 1.00, 0.00, 0.00, 0.00, 0.00, 48.35, 1.00, 0.00, 0.00, 0.00, 0.00, 31.81, 1.00, 0.00, 0.00, 81.71, 1.00, 2.97, 33.91, 26.90, 92.11, 26.96, 87.44, 25.48, 63.93, 25.36, 69.30, 29.81, 28.91, -999
05/07/16 03, 0.44, 2.67, 5.31, 4.00, 3.36, 5.50, 2.69, 96.09, 1.00, 96.11, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 29.96, 1.00, 0.00, 0.00, 66.23, 1.00, 2.98, 35.07, 30.70, 76.28, 30.70, 67.44, 26.76, 63.77, 26.65, 76.77, 32.97, 32.07, -999
05/07/16 04, 0.70, 3.35, 5.09, 3.02, 2.84, 5.50, 4.04, 96.52, 1.00, 96.54, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 48.02, 1.00, 0.00, 0.00, 0.00, 0.00, 29.88, 1.00, 0.00, 0.00, 78.17, 1.00, 2.98, 34.84, 28.89, 76.62, 28.85, 89.93, 26.68, 63.56, 26.58, 76.95, 31.39, 30.49, -999
05/07/16 05, 0.93, 3.68, 4.90, 3.97, 2.40, 5.44, 4.67, 95.15, 1.00, 95.16, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 48.41, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 82.99, 1.00, 2.98, 35.58, 29.42, 75.49, 29.38, 89.74, 29.93, 62.55, 29.93, 61.56, 31.95, 31.05, -999
05/07/16 06, 1.28, 4.17, 4.66, 4.22, 1.84, 5.25, 3.87, 94.86, 1.00, 94.88, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 64.86, 1.00, 2.98, 35.73, 32.09, 74.90, 32.09, 66.21, 30.34, 62.34, 30.34, 58.59, 34.35, 33.45, -999
05/07/16 07, 1.57, 4.84, 4.40, 3.01, 1.72, 4.91, 2.42, 96.08, 1.00, 96.10, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 35.30, 1.00, 0.00, 0.00, 30.46, 1.00, 0.00, 0.00, 55.02, 1.00, 2.98, 35.08, 31.99, 73.40, 31.99, 63.78, 20.33, 81.77, 20.22, 68.85, 34.20, 33.30, -999
05/07/16 08, 1.61, 5.12, 4.07, 2.95, 2.18, 5.20, 2.99, 96.80, 1.00, 96.82, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.74, 1.00, 35.94, 1.00, 0.00, 0.00, 30.39, 1.00, 0.00, 0.00, 67.02, 1.00, 2.98, 34.69, 30.16, 72.19, 30.12, 85.99, 19.97, 80.30, 19.86, 68.61, 32.62, 31.72, -999
05/07/16 09, 1.61, 5.29, 3.71, 3.21, 2.34, 5.45, 3.39, 97.63, 1.00, 97.65, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.76, 1.00, 35.49, 1.00, 0.00, 0.00, 30.51, 1.00, 0.00, 0.00, 62.87, 1.00, 2.97, 34.24, 30.23, 69.99, 30.19, 86.03, 19.71, 80.83, 19.60, 67.95, 32.68, 31.78, -999
05/07/16 10, 1.55, 5.42, 3.28, 3.43, 2.59, 5.50, 3.65, 97.87, 1.00, 97.89, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 51.06, 1.00, 34.84, 1.00, 0.00, 0.00, 30.15, 1.00, 0.00, 0.00, 60.84, 1.00, 2.97, 34.12, 30.31, 68.57, 30.27, 85.50, 19.81, 82.06, 19.71, 69.22, 32.75, 31.85, -999
05/07/16 11, 1.47, 5.38, 3.18, 3.46, 3.03, 5.50, 3.74, 97.15, 1.00, 97.17, 1.00, 0.00, 0.00, 36.20, 1.00, 0.00, 0.00, 0.00, 0.00, 51.32, 1.00, 34.96, 1.00, 0.00, 0.00, 30.27, 1.00, 0.00, 0.00, 67.68, 1.00, 2.97, 34.50, 29.42, 89.42, 29.49, 84.20, 20.03, 82.07, 19.93, 69.05, 32.33, 31.43, -999
05/07/16 12, 1.45, 5.17, 3.68, 3.01, 3.41, 5.50, 3.76, 98.20, 1.00, 98.22, 1.00, 0.00, 0.00, 36.56, 1.00, 0.00, 0.00, 0.00, 0.00, 50.32, 1.00, 34.91, 1.00, 0.00, 0.00, 29.81, 1.00, 0.00, 0.00, 65.39, 1.00, 2.97, 33.94, 29.17, 88.53, 29.24, 85.95, 19.70, 81.83, 19.60, 70.20, 32.06, 31.16, -999
05/07/16 13, 1.35, 4.95, 4.13, 3.29, 3.72, 5.50, 4.04, 96.71, 1.00, 96.73, 1.00, 0.00, 0.00, 35.37, 1.00, 0.00, 0.00, 0.00, 0.00, 50.21, 1.00, 33.84, 1.00, 0.00, 0.00, 30.26, 1.00, 0.00, 0.00, 71.44, 1.00, 2.98, 34.74, 29.17, 90.62, 29.23, 86.17, 20.42, 84.36, 20.31, 69.49, 32.07, 31.17, -999
05/07/16 14, 1.45, 4.82, 4.65, 3.57, 3.82, 5.50, 4.16, 96.97, 1.00, 96.99, 1.00, 0.00, 0.00, 35.86, 1.00, 0.00, 0.00, 0.00, 0.00, 50.43, 1.00, 0.00, 0.00, 0.00, 0.00, 30.68, 1.00, 0.00, 0.00, 72.95, 1.00, 2.98, 34.60, 29.05, 89.65, 29.12, 85.62, 26.77, 63.26, 26.66, 74.45, 31.97, 31.07, -999
05/07/16 15, 1.59, 4.70, 5.11, 3.68, 3.14, 5.43, 4.46, 96.92, 1.00, 96.94, 1.00, 0.00, 0.00, 34.83, 1.00, 0.00, 0.00, 0.00, 0.00, 50.42, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 75.66, 1.00, 2.98, 34.63, 29.01, 91.39, 29.07, 85.58, 29.62, 63.00, 29.62, 57.98, 31.93, 31.03, -999
05/07/16 16, 1.79, 4.77, 5.20, 3.76, 2.52, 5.05, 2.76, 95.98, 1.00, 96.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.30, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 75.34, 1.00, 2.98, 35.13, 30.08, 73.28, 30.04, 86.79, 30.08, 61.70, 30.08, 56.59, 32.58, 31.68, -999
05/07/16 17, 1.93, 5.00, 4.84, 4.06, 1.80, 5.14, 2.60, 97.30, 1.00, 97.32, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.28, 1.00, 0.00, 0.00, 0.00, 0.00, 32.40, 1.00, 0.00, 0.00, 67.89, 1.00, 2.97, 34.42, 30.07, 73.14, 30.03, 86.82, 26.68, 61.34, 26.55, 68.41, 32.54, 31.64, -999
05/07/16 18, 1.91, 5.17, 4.48, 4.32, 1.70, 5.35, 2.78, 97.15, 1.00, 97.17, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.11, 1.00, 34.93, 1.00, 0.00, 0.00, 30.73, 1.00, 0.00, 0.00, 66.29, 1.00, 2.97, 34.50, 30.21, 72.04, 30.17, 87.29, 20.17, 82.27, 20.06, 67.67, 32.67, 31.77, -999
05/07/16 19, 1.87, 5.49, 4.10, 3.95, 2.25, 5.50, 2.96, 97.33, 1.00, 97.35, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 35.61, 1.00, 0.00, 0.00, 30.08, 1.00, 0.00, 0.00, 48.15, 1.00, 2.97, 34.41, 32.17, 70.03, 32.17, 62.31, 19.98, 80.89, 19.87, 69.61, 34.36, 33.46, -999
05/07/16 20, 2.03, 5.37, 3.66, 2.79, 2.52, 5.50, 3.27, 95.13, 1.00, 95.15, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.48, 1.00, 35.55, 1.00, 0.00, 0.00, 30.62, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 35.59, 28.34, 69.45, 28.30, 84.70, 20.59, 81.61, 20.48, 68.47, 38.37, 29.72, -999
05/07/16 21, 2.18, 4.83, 3.21, 2.85, 2.85, 5.50, 3.24, 95.04, 1.00, 95.06, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.41, 1.00, 35.45, 1.00, 0.00, 0.00, 30.61, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 35.63, 27.81, 68.37, 27.77, 84.31, 20.72, 81.91, 20.61, 68.62, 38.47, 29.19, -999
05/07/16 22, 2.32, 4.10, 3.22, 2.77, 3.18, 5.50, 3.24, 95.08, 1.00, 95.10, 1.00, 0.00, 0.00, 34.62, 1.00, 0.00, 0.00, 0.00, 0.00, 49.06, 1.00, 35.47, 1.00, 0.00, 0.00, 31.09, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 35.61, 23.83, 86.58, 23.90, 83.05, 20.64, 81.80, 20.53, 66.94, 38.49, 25.61, -999
05/07/16 23, 2.45, 3.21, 3.64, 2.58, 3.46, 5.50, 2.81, 93.95, 1.00, 93.96, 1.00, 0.00, 0.00, 35.06, 1.00, 0.00, 0.00, 0.00, 0.00, 48.57, 1.00, 35.67, 1.00, 0.00, 0.00, 31.02, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 36.22, 22.95, 84.94, 23.02, 83.08, 21.21, 82.02, 21.10, 67.76, 39.15, 24.73, -999
06/07/16 00, 2.64, 2.33, 3.98, 2.54, 3.70, 5.50, 2.68, 93.28, 1.00, 93.30, 1.00, 0.00, 0.00, 33.37, 1.00, 0.00, 0.00, 0.00, 0.00, 47.83, 1.00, 35.14, 1.00, 0.00, 0.00, 30.62, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 36.57, 22.35, 87.17, 22.41, 83.84, 21.86, 83.60, 21.75, 69.75, 39.59, 24.09, -999
06/07/16 01, 2.91, 1.47, 4.41, 2.76, 3.76, 5.50, 3.07, 89.71, 1.00, 89.73, 1.00, 0.00, 0.00, 32.92, 1.00, 0.00, 0.00, 0.00, 0.00, 47.35, 1.00, 0.00, 0.00, 0.00, 0.00, 32.27, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 38.45, 21.60, 87.14, 21.65, 83.95, 30.58, 63.71, 30.46, 72.79, 42.11, 23.33, -999
06/07/16 02, 3.35, 0.62, 4.82, 3.00, 3.16, 5.50, 3.69, 89.39, 1.00, 89.41, 1.00, 0.00, 0.00, 31.39, 1.00, 0.00, 0.00, 0.00, 0.00, 46.43, 1.00, 0.00, 0.00, 0.00, 0.00, 31.25, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 38.61, 21.02, 88.94, 21.07, 85.00, 31.08, 63.81, 30.96, 76.84, 42.42, 22.72, -999
06/07/16 03, 3.40, 0.76, 5.29, 3.51, 2.70, 5.50, 4.79, 94.76, 1.00, 94.78, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 48.29, 1.00, 0.00, 0.00, 0.00, 0.00, 30.19, 1.00, 0.00, 0.00, 100.81, 1.00, 2.98, 35.78, 27.56, 76.01, 27.52, 88.11, 28.75, 63.60, 28.64, 78.02, 30.21, 29.31, -999
06/07/16 04, 3.59, 1.33, 5.05, 4.19, 2.29, 5.25, 3.68, 94.10, 1.00, 94.12, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 47.71, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 100.79, 1.00, 2.98, 36.14, 28.18, 76.55, 28.14, 89.79, 31.63, 63.24, 31.63, 59.86, 30.82, 29.92, -999
06/07/16 05, 3.82, 2.06, 4.87, 4.21, 1.90, 4.97, 2.61, 93.43, 1.00, 93.45, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 81.64, 1.00, 2.98, 36.49, 31.53, 76.70, 31.53, 68.41, 32.12, 62.55, 32.12, 57.77, 33.88, 32.98, -999
06/07/16 06, 3.94, 2.89, 4.71, 3.30, 1.59, 5.12, 2.74, 93.75, 1.00, 93.77, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 36.06, 1.00, 0.00, 0.00, 30.45, 1.00, 0.00, 0.00, 75.59, 1.00, 2.98, 36.32, 31.76, 74.84, 31.76, 65.74, 22.45, 82.58, 22.35, 70.88, 34.08, 33.18, -999
06/07/16 07, 3.90, 3.42, 4.44, 3.39, 2.09, 5.49, 3.67, 94.73, 1.00, 94.75, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.08, 1.00, 35.40, 1.00, 0.00, 0.00, 31.07, 1.00, 0.00, 0.00, 88.50, 1.00, 2.98, 35.80, 29.40, 73.73, 29.36, 88.48, 22.10, 83.38, 21.98, 68.48, 31.98, 31.08, -999
06/07/16 08, 3.81, 3.83, 4.13, 4.07, 2.67, 5.50, 4.02, 95.66, 1.00, 95.68, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.63, 1.00, 35.68, 1.00, 0.00, 0.00, 30.33, 1.00, 0.00, 0.00, 83.64, 1.00, 2.98, 35.30, 29.53, 72.52, 29.49, 87.56, 21.70, 82.48, 21.59, 70.53, 32.08, 31.18, -999
06/07/16 09, 3.66, 4.19, 3.78, 4.49, 3.07, 5.50, 4.27, 95.67, 1.00, 95.68, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 35.52, 1.00, 0.00, 0.00, 30.71, 1.00, 0.00, 0.00, 64.23, 1.00, 2.98, 35.30, 32.05, 70.93, 32.05, 61.98, 21.53, 82.61, 21.42, 69.10, 34.31, 33.41, -999
06/07/16 10, 3.55, 4.85, 3.38, 2.82, 3.45, 5.50, 4.14, 95.97, 1.00, 95.99, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 51.05, 1.00, 35.60, 1.00, 0.00, 0.00, 29.92, 1.00, 0.00, 0.00, 76.64, 1.00, 2.98, 35.14, 30.18, 72.16, 30.14, 85.40, 21.55, 82.47, 21.44, 71.70, 32.70, 31.80, -999
